Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.35474604	0.29235724	1.5258168	0.07777469	500.0	-0.17129937	0.031944685	-0.13909532	-0.33071005	16000	-3.7252903e-08	0.041166026	-0.005223984	-0.03674487	1.3564423	0.005754868	0.041187502	127.0	27.142125844955444	0.0	0.0	0.0	0.0	0.0
1	0.7991602	0.78280455	2.7897208	0.06601748	500.0	0.027433442	0.033091158	0.093223475	-0.087516636	32000	0.0	0.028479513	-0.008303544	-0.01235128	1.3564423	0.0045703603	0.0755625	127.0	47.357802629470825	0.0	0.0	0.0	0.0	0.0
2	2.166041	1.9237527	6.479855	0.20849839	500.0	0.19488095	0.06173561	0.37526274	-0.014324278	48000	1.1175871e-08	0.18310377	-0.008314809	-0.060065642	1.3564423	0.007173516	0.083124995	127.0	69.3592779636383	0.0	0.0	0.0	0.0	0.0
3	3.2041907	2.2539825	10.570508	0.5681526	500.0	0.49932078	0.109463625	0.91573656	0.16123624	64000	1.4901161e-08	0.23543471	-0.009989111	-0.060666278	1.3564423	0.0079740565	0.096062504	127.0	90.77172088623047	0.0	0.0	0.0	0.0	0.0
4	6.2197804	4.123273	21.212149	0.8299593	500.0	0.8573307	0.20648764	1.4178462	0.314719	80000	-1.8626451e-09	0.8569449	-0.007148849	-0.3335888	1.3564423	0.0047267945	0.069875	127.0	110.94564723968506	0.0	0.0	0.0	0.0	0.0
5	10.910028	5.8642454	23.727419	1.1248573	500.0	1.2771677	0.33739427	2.3537707	0.33164838	96000	8.195639e-08	2.508847	-0.010374438	-1.1997995	1.3564423	0.0075902627	0.089375004	127.0	136.91208815574646	0.0	0.0	0.0	0.0	0.0
6	13.408237	4.6609178	26.0489	3.5524063	500.0	2.6497633	0.575755	4.1204777	1.2495387	112000	-1.8626451e-09	1.4920627	-0.009625125	-0.2838396	1.3564423	0.0066322377	0.0835625	127.0	159.065575838089	0.0	0.0	0.0	0.0	0.0
7	15.929258	3.8818102	22.729794	8.282416	500.0	3.4232883	0.8649317	4.9740095	0.77988935	128000	-7.450581e-09	1.24424	-0.010612931	-0.35676938	1.3564423	0.0077129323	0.09612499	127.0	180.19446277618408	0.0	0.0	0.0	0.0	0.0
8	18.510883	4.2272673	28.759474	10.315558	500.0	4.0622554	0.9859061	5.698388	0.42784515	144000	1.8626451e-08	1.537226	-0.010890331	-0.16573828	1.3564423	0.007918684	0.0840625	127.0	207.7133948802948	0.0	0.0	0.0	0.0	0.0
9	21.624413	6.218123	37.98536	11.536283	500.0	4.4960594	0.84575564	5.887257	1.1988182	160000	0.0	2.3932583	-0.009630961	-0.4158978	1.3564423	0.007830228	0.089125	127.0	229.7886519432068	0.0	0.0	0.0	0.0	0.0
10	20.011223	4.7959237	29.755695	9.544027	500.0	5.1266184	0.70461154	6.0172653	1.8593524	176000	2.9802322e-08	1.8565743	-0.008663119	-0.5513417	1.3564423	0.005845096	0.0633125	127.0	253.75859785079956	0.0	0.0	0.0	0.0	0.0
11	24.449598	5.490315	43.689922	12.550194	500.0	4.5800967	0.4224573	5.194588	2.392991	192000	0.0	2.5217557	-0.008011071	-0.7399954	1.3564423	0.0048903236	0.05675	127.0	275.12630462646484	0.0	0.0	0.0	0.0	0.0
12	29.101547	6.4504094	44.66083	16.709862	500.0	5.3559623	0.5067623	6.4790487	2.3111753	208000	2.9802322e-08	3.4172084	-0.008257516	-0.9077051	1.3564423	0.0067882854	0.059	127.0	299.79666090011597	0.0	0.0	0.0	0.0	0.0
13	27.518509	6.3735223	46.025482	16.633762	500.0	6.337049	0.46826413	6.926992	3.062348	224000	1.1175871e-08	2.257422	-0.0077968407	-0.19628628	1.3564423	0.0072855623	0.0615	127.0	322.4645426273346	0.0	0.0	0.0	0.0	0.0
14	31.783613	7.361032	52.164375	20.117338	500.0	6.0510736	0.5078034	7.0379853	2.7623491	240000	3.7252903e-09	3.6486597	-0.00891083	-0.7019757	1.3564423	0.007934788	0.0696875	127.0	356.43915462493896	0.0	0.0	0.0	0.0	0.0
15	32.277733	7.003109	48.790348	23.123388	500.0	6.7322264	0.4895393	8.019891	3.2840962	256000	-7.450581e-09	3.0288918	-0.0069587007	-0.27387065	1.3564423	0.0068910187	0.065125	127.0	392.6912136077881	0.0	0.0	0.0	0.0	0.0
16	32.487946	7.9444394	50.73954	22.329626	500.0	6.8944244	0.6333503	8.275782	3.0398772	272000	1.4901161e-08	3.1358056	-0.007557639	-0.38923585	1.3564423	0.0060383184	0.06025	127.0	420.6930253505707	0.0	0.03125	0.0	0.0	0.0
17	37.73562	9.496282	51.125603	24.229952	500.0	7.0375237	0.74254906	8.859079	2.972322	288000	-7.450581e-09	4.6416845	-0.0076512657	-1.6189215	1.3564423	0.0046366104	0.057375	127.0	442.3677384853363	0.0	0.0	0.0	0.0	0.0
18	38.420635	9.734761	55.503967	20.788322	500.0	7.9204044	1.7672836	10.894853	-2.2689238	304000	-1.1175871e-08	4.641848	-0.008567664	-0.6710665	1.3564423	0.0060578478	0.0604375	127.0	462.8259222507477	0.0	0.0625	0.0	0.0	0.0
19	42.268383	9.050814	55.180004	27.113714	500.0	8.445988	1.1591647	10.730141	3.5760052	320000	3.7252903e-09	3.3990254	-0.0095162	-0.825685	1.3564423	0.0082963435	0.078687504	127.0	489.13809609413147	0.0	0.0	0.0	0.0	0.0
20	42.078888	9.27622	56.91968	28.647985	500.0	9.139167	1.4169546	11.883522	3.5995646	336000	1.1175871e-08	3.4239693	-0.009550975	-0.44352463	1.3564423	0.0062606093	0.066687495	127.0	511.58254408836365	0.0	0.0	0.0	0.0	0.0
21	43.513477	8.5633335	57.112118	29.955257	500.0	9.321787	1.6725672	12.206079	1.9389831	352000	-1.4901161e-08	3.1454287	-0.010165761	-0.51616204	1.3564423	0.009379929	0.081687495	127.0	531.1707117557526	0.0	0.0	0.0	0.0	0.0
22	42.340675	10.134966	58.03524	20.886234	500.0	9.316852	1.8109803	12.13457	0.24905589	368000	-1.4901161e-08	3.1394603	-0.009959473	-0.87878335	1.3564423	0.0076152477	0.076000005	127.0	556.2236819267273	0.0	0.0	0.0	0.0	0.0
23	42.723526	9.7761755	56.65241	23.485825	500.0	9.212982	2.014745	12.557003	-0.711106	384000	-1.0244548e-08	3.1907263	-0.010966298	-0.54760504	1.3564423	0.0066435654	0.078625	127.0	577.796201467514	0.0	0.0625	0.0	0.0	0.0
24	44.446453	9.052333	58.499992	31.974377	500.0	9.724703	1.8838693	13.048394	3.2982018	400000	-1.4901161e-08	2.6770139	-0.011822734	-0.61662304	1.3564423	0.011070132	0.0964375	127.0	606.3343958854675	0.0	0.03125	0.0	0.0	0.0
25	45.07926	10.404195	60.362675	28.570229	500.0	9.721786	2.3519437	13.445644	-1.4797314	416000	-7.450581e-09	3.0440483	-0.011219559	-0.8008723	1.3564423	0.007755272	0.085375	127.0	641.7406394481659	0.0	0.0625	0.0	0.0	0.0
26	48.809723	8.924655	65.45454	31.802778	500.0	10.460129	1.8722486	13.196743	-1.7801796	432000	-1.1175871e-08	3.1691647	-0.01243001	-0.8657661	1.3564423	0.010144744	0.09343751	127.0	676.7348721027374	0.0	0.03125	0.0	0.0	0.0
27	50.255856	9.46336	62.53463	30.306017	500.0	10.5381155	2.2501566	13.889958	-2.173046	448000	-1.1175871e-08	2.3865683	-0.010885034	-0.55171436	1.3564423	0.0086594485	0.0884375	127.0	702.2604882717133	0.0	0.0	0.0	0.0	0.0
