Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.25085276	0.17154577	0.75369114	0.04968896	500.0	0.045106187	0.02162565	0.1223114	-0.04022299	16000	-7.450581e-09	0.002174105	-0.0074591907	-0.0010847112	1.3564423	0.007591777	0.078062505	127.0	29.8869469165802	0.0	0.0	0.0	0.0	0.0
1	0.31011745	0.18761796	0.8550903	0.06228471	500.0	0.053760085	0.01685787	0.12224029	0.010997172	32000	-1.0244548e-08	0.0016485569	-0.0070475806	-0.0005827171	1.3564423	0.00841857	0.08499999	127.0	54.13846778869629	0.0	0.0	0.0	0.0	0.0
2	0.549877	0.34358343	1.8199788	0.115490906	500.0	0.06971877	0.022471597	0.14283927	0.013769247	48000	0.0	0.004840993	-0.009260535	-0.0020699766	1.3564423	0.009063873	0.110687494	127.0	79.8127851486206	0.0	0.0	0.0	0.0	0.0
3	0.951455	0.5005577	2.830986	0.31205702	500.0	0.14102374	0.043484494	0.28451148	0.019490857	64000	7.450581e-09	0.011087511	-0.009473164	-0.004199029	1.3564423	0.008749515	0.0929375	127.0	102.67348861694336	0.0	0.0	0.0	0.0	0.0
4	1.9589188	0.91965455	4.477582	0.4903397	500.0	0.29243234	0.06395281	0.53187597	0.11692077	80000	2.142042e-08	0.052765775	-0.008708713	-0.024573144	1.3564423	0.008064156	0.08525	127.0	126.19587755203247	0.0	0.0	0.0	0.0	0.0
5	3.056469	1.3611214	5.4415216	0.5904382	500.0	0.47016552	0.08686829	0.7230718	0.08486582	96000	-2.9802322e-08	0.103767484	-0.009800471	-0.053630296	1.3564423	0.0074252253	0.0949375	127.0	148.5050013065338	0.0	0.0	0.0	0.0	0.0
6	8.567772	4.8181634	21.227154	2.340547	500.0	0.8617364	0.23274393	1.5492193	0.24219716	112000	-6.7055225e-08	1.944794	-0.007404886	-1.036241	1.3564423	0.0064662416	0.075375	127.0	172.3061330318451	0.0	0.0	0.0	0.0	0.0
7	14.373226	6.0286174	24.398575	4.8055286	500.0	2.2732198	0.6546942	4.039611	0.25854585	128000	1.4901161e-08	3.0208788	-0.008289605	-1.2873468	1.3564423	0.006511349	0.07175	127.0	197.98614621162415	0.0	0.0	0.0	0.0	0.0
8	19.15989	5.07788	31.917027	9.266647	500.0	3.7782192	1.2455237	6.165656	-0.17872088	144000	-8.381903e-09	2.5392146	-0.010124477	-0.8015293	1.3564423	0.0066333907	0.0855625	127.0	220.2417917251587	0.0	0.0625	0.0	0.0	0.0
9	23.447433	5.219053	34.823982	15.744197	500.0	4.85754	1.279072	7.0061946	0.4289497	160000	-7.450581e-09	2.42417	-0.008039854	-0.4963543	1.3564423	0.006940201	0.067375004	127.0	245.60664057731628	0.0	0.03125	0.0	0.0	0.0
10	23.09708	4.7819576	34.300545	14.837048	500.0	5.818481	1.3109848	7.3026333	1.0316954	176000	2.2351742e-08	2.0381026	-0.00770678	-0.29913247	1.3564423	0.007285966	0.069	127.0	271.6009750366211	0.0	0.0625	0.0	0.0	0.0
11	27.302933	5.1093607	39.651016	18.793613	500.0	5.5230303	0.89271057	6.5200977	1.5617014	192000	0.0	2.4650977	-0.008200219	-0.45881754	1.3564423	0.0055303806	0.062625006	127.0	297.87459325790405	0.0	0.0	0.0	0.0	0.0
12	29.682447	5.107476	39.86487	20.650066	500.0	6.141239	0.8307833	6.985456	1.9498663	208000	1.4901161e-08	2.383192	-0.0084157325	-0.2705703	1.3564423	0.0063836244	0.0678125	127.0	326.6181991100311	0.0	0.15625	0.0	0.0	0.0
13	31.220718	4.3605313	43.01696	23.520378	500.0	6.630319	0.75408494	7.3321333	2.1317766	224000	-1.8626451e-09	1.595117	-0.008626481	-0.11147487	1.3564423	0.0063089593	0.069562495	127.0	352.25261402130127	0.0	0.03125	0.0	0.0	0.0
14	32.395447	6.137687	42.045464	18.102667	500.0	6.955789	0.81134063	7.655681	2.2571044	240000	-1.4901161e-08	2.2895634	-0.008092107	-0.08771878	1.3564423	0.006283713	0.0535	127.0	377.50111293792725	0.0	0.0	0.0	0.0	0.0
15	35.734955	5.0495234	44.800526	26.019257	500.0	7.189839	0.75908524	7.82773	2.4593847	256000	1.4901161e-08	2.1400967	-0.008436933	-0.3601201	1.3564423	0.0061827796	0.0611875	127.0	405.4454674720764	0.0	0.03125	0.0	0.0	0.0
16	35.296432	5.7230964	44.802853	22.096905	500.0	7.777031	0.7303129	8.330141	3.05536	272000	-2.2351742e-08	2.1171823	-0.008098968	-0.030250136	1.3564423	0.0054021534	0.0681875	127.0	431.52668285369873	0.0	0.125	0.0	0.0	0.0
17	37.17954	4.295572	45.41034	28.59119	500.0	7.7140083	0.6523391	8.19478	3.5579343	288000	-3.7252903e-09	1.7401412	-0.008918937	-0.12386863	1.3564423	0.005096721	0.064625	127.0	456.5456566810608	0.0	0.03125	0.0	0.0	0.0
18	37.322777	5.54999	48.595024	26.221634	500.0	8.025896	0.60306484	8.41417	4.240105	304000	-7.450581e-09	1.6197912	-0.008306848	-0.04535702	1.3564423	0.006136901	0.0595625	127.0	485.7033817768097	0.0	0.03125	0.0	0.0	0.0
19	37.543606	6.111331	47.275967	25.443916	500.0	8.1148815	0.7261003	8.627639	3.4736023	320000	4.4703484e-08	1.9503359	-0.008634546	-0.09274723	1.3564423	0.0060985945	0.059	127.0	513.6512801647186	0.0	0.0	0.0	0.0	0.0
20	40.549725	4.8977876	47.420692	29.744822	500.0	8.164681	0.75446427	8.755368	3.743522	336000	1.4901161e-08	1.605108	-0.007871684	-0.32273382	1.3564423	0.004567275	0.047250003	127.0	540.8178446292877	0.0	0.0625	0.0	0.0	0.0
21	41.544365	5.20835	47.35033	28.303366	500.0	8.708913	0.8319679	9.427696	4.240759	352000	-5.5879354e-09	1.3005404	-0.008635791	-0.1779592	1.3564423	0.006326714	0.060124997	127.0	570.2193918228149	0.0	0.0	0.0	0.0	0.0
22	39.79712	4.9435606	48.907825	30.875723	500.0	8.883855	0.91772544	9.810164	3.9344969	368000	1.4901161e-08	1.49121	-0.008517349	-0.21634334	1.3564423	0.005842087	0.064875	127.0	598.0053000450134	0.0	0.0625	0.0	0.0	0.0
23	41.95037	5.1456313	50.47517	27.581375	500.0	8.701345	0.83348954	9.642568	4.5921254	384000	-1.4901161e-08	1.6425642	-0.007881747	-0.08604962	1.3564423	0.004787636	0.056375	127.0	630.5919046401978	0.0	0.09375	0.0	0.0	0.0
24	41.668026	6.5927863	51.238144	20.93557	500.0	8.791474	0.8773011	9.834344	4.3771963	400000	7.450581e-09	1.7699428	-0.0077124643	-0.21110556	1.3564423	0.0067246985	0.0553125	127.0	657.4445898532867	0.0	0.09375	0.0	0.0	0.0
25	41.792366	6.3245816	50.111794	27.131044	500.0	8.984622	0.98221266	10.227961	4.06795	416000	-7.450581e-09	1.6887258	-0.00858555	-0.15201092	1.3564423	0.0056289593	0.0738125	127.0	681.7151970863342	0.0	0.15625	0.0	0.0	0.0
26	43.974506	4.3737235	51.260323	33.031853	500.0	8.955611	0.8737677	10.338092	4.8536525	432000	-7.450581e-09	1.2805837	-0.008904125	-0.23067434	1.3564423	0.00916275	0.0666875	127.0	707.4082658290863	0.0	0.0625	0.0	0.0	0.0
27	45.112568	4.8239903	51.479362	32.783768	500.0	9.364344	1.1417174	10.817905	1.8739157	448000	-2.2351742e-08	1.1450253	-0.009431937	-0.13772137	1.3564423	0.005998105	0.0649375	127.0	731.9184536933899	0.0	0.0	0.0	0.0	0.0
28	44.882404	3.577093	51.767403	37.61944	500.0	9.619388	0.904444	10.93549	5.2974925	464000	-3.7252903e-09	0.8196267	-0.0084296735	-0.13020554	1.3564423	0.0065557947	0.064	127.0	756.3126690387726	0.0	0.0	0.0	0.0	0.0
29	45.408047	4.6856365	51.500427	30.27456	500.0	9.638238	1.0224557	11.013517	5.0618463	480000	2.9802322e-08	0.6966847	-0.008992786	-0.12858897	1.3564423	0.0034936646	0.0700625	127.0	782.05197930336	0.0	0.0	0.0	0.0	0.0
